victor,season,victor_avg_score,victor_avg_assists,victor_avg_blocks,victor_avg_dreb,victor_avg_fgp,victor_avg_oreb,victor_avg_steals,victor_avg_fta,victor_avg_3fgp,victor_avg_to,victor_avg_opp_score,round,region_number,region_name,seed_t1,score_t1,name_t1,name_t2,score_t2,seed_t2,loser,upset,victor_seed,loser_seed,loser_avg_score,loser_avg_assists,loser_avg_blocks,loser_avg_dreb,loser_avg_fgp,loser_avg_oreb,loser_avg_steals,loser_avg_fta,loser_avg_3fgp,loser_avg_to,loser_avg_opp_score,season_avg_score,season_avg_assists,season_avg_blocks,season_avg_dreb,season_avg_fgp,season_avg_oreb,season_avg_steals,season_avg_fta,season_avg_3fgp,season_avg_to,season_avg_opp_score
Florida,2007,79.53846153846153,15.282051282051283,4.871794871794871,26.41025641025641,52.371794871794876,11.205128205128204,6.641025641025641,23.102564102564102,40.666666666666664,14.282051282051283,62.51282051282051,1,1,Midwest,1,112,Florida,Jackson St,69,16,Jackson St,0,1,16,70.82758620689656,13.10344827586207,3.2413793103448274,22.103448275862068,41.682758620689654,13.586206896551724,7.896551724137931,21.413793103448278,31.213793103448275,15.931034482758621,73.62068965517241,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Florida,2007,79.53846153846153,15.282051282051283,4.871794871794871,26.41025641025641,52.371794871794876,11.205128205128204,6.641025641025641,23.102564102564102,40.666666666666664,14.282051282051283,62.51282051282051,2,1,Midwest,1,74,Florida,Purdue,67,9,Purdue,0,1,9,68.75,13.625,2.75,21.21875,45.725,11.59375,7.90625,20.28125,35.58125,14.21875,63.28125,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Florida,2007,79.53846153846153,15.282051282051283,4.871794871794871,26.41025641025641,52.371794871794876,11.205128205128204,6.641025641025641,23.102564102564102,40.666666666666664,14.282051282051283,62.51282051282051,3,1,Midwest,1,65,Florida,Butler,57,5,Butler,0,1,5,68.11764705882354,12.352941176470589,1.7058823529411764,20.470588235294116,44.15,9.029411764705882,5.264705882352941,20.294117647058822,36.44705882352941,9.205882352941176,57.529411764705884,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Florida,2007,79.53846153846153,15.282051282051283,4.871794871794871,26.41025641025641,52.371794871794876,11.205128205128204,6.641025641025641,23.102564102564102,40.666666666666664,14.282051282051283,62.51282051282051,4,1,Midwest,1,85,Florida,Oregon,77,3,Oregon,0,1,3,75.86486486486487,13.864864864864865,2,22.72972972972973,45.32432432432432,11.675675675675675,6.864864864864865,18.864864864864863,39.19459459459459,12.45945945945946,66.21621621621621,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Florida,2007,79.53846153846153,15.282051282051283,4.871794871794871,26.41025641025641,52.371794871794876,11.205128205128204,6.641025641025641,23.102564102564102,40.666666666666664,14.282051282051283,62.51282051282051,5,1,Final Four,1,76,Florida,UCLA,66,2,UCLA,0,1,2,70.76470588235294,14.323529411764707,3.2058823529411766,22.11764705882353,47.34705882352941,10.794117647058824,7.529411764705882,17.38235294117647,36.30294117647059,12.323529411764707,59.5,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
UCLA,2007,70.76470588235294,14.323529411764707,3.2058823529411766,22.11764705882353,47.34705882352941,10.794117647058824,7.529411764705882,17.38235294117647,36.30294117647059,12.323529411764707,59.5,1,2,West,2,70,UCLA,Weber St,42,15,Weber St,0,2,15,70.86666666666666,13.566666666666666,2.466666666666667,23.033333333333335,48.43333333333334,9.366666666666667,6.7,25.566666666666666,39.48,15.966666666666667,70.13333333333334,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
UCLA,2007,70.76470588235294,14.323529411764707,3.2058823529411766,22.11764705882353,47.34705882352941,10.794117647058824,7.529411764705882,17.38235294117647,36.30294117647059,12.323529411764707,59.5,2,2,West,2,54,UCLA,Indiana,49,7,Indiana,0,2,7,70.1875,13.25,4.375,22.09375,44.465625,11.71875,6.4375,18.84375,37.96875,12.375,61.75,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
UCLA,2007,70.76470588235294,14.323529411764707,3.2058823529411766,22.11764705882353,47.34705882352941,10.794117647058824,7.529411764705882,17.38235294117647,36.30294117647059,12.323529411764707,59.5,4,2,West,1,55,Kansas,UCLA,68,2,Kansas,1,2,1,77.13888888888889,16.47222222222222,6.416666666666667,26.52777777777778,49.00555555555555,12.833333333333334,8.972222222222221,21.27777777777778,38.1,14.36111111111111,62.05555555555556,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Georgetown,2007,68.94444444444444,14.805555555555555,5.083333333333333,22.97222222222222,50.53055555555556,11.083333333333334,5.166666666666667,17.88888888888889,36.43888888888889,13.416666666666666,57.94444444444444,1,3,East,2,80,Georgetown,Belmont,55,15,Belmont,0,2,15,72.4,15.666666666666666,2.933333333333333,25.833333333333332,47.21333333333333,11.166666666666666,6,17.466666666666665,36.07333333333333,16.1,64.06666666666666,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
Georgetown,2007,68.94444444444444,14.805555555555555,5.083333333333333,22.97222222222222,50.53055555555556,11.083333333333334,5.166666666666667,17.88888888888889,36.43888888888889,13.416666666666666,57.94444444444444,2,3,East,2,62,Georgetown,Boston College,55,7,Boston College,0,2,7,74.65625,14.65625,5.5625,22.78125,48.340625,11.9375,5.59375,24.0625,35.05625,13.6875,69.6875,70.34185859482415,13.730719232718217,3.4719870393742776,23.146150932256802,44.925983865142314,11.541147841580502,6.770628285863588,20.474536618841707,35.31221508571564,14.25163442855273,67.78918045952834
